400 
0 1 2
0 2 2
0 3 2
0 4 2
0 5 1
0 6 2
0 7 2
0 8 3
0 9 1
0 10 1
0 11 3
0 12 2
0 13 1
0 14 1
0 15 1
0 16 4
0 17 3
0 18 4
0 19 3
0 20 2
0 21 2
0 22 3
0 23 1
0 24 3
0 25 3
0 26 2
0 27 2
0 28 2
0 29 3
0 30 3
0 31 1
0 32 1
0 33 3
0 34 4
0 35 2
0 36 2
0 37 2
0 38 3
0 39 2
0 40 4
0 41 4
0 42 2
0 43 2
0 44 3
0 45 2
0 46 1
0 47 1
0 48 1
0 49 1
0 50 1
0 51 3
0 52 3
0 53 3
0 54 3
0 55 3
0 56 2
0 57 3
0 58 3
0 59 3
0 60 1
0 61 1
0 62 4
0 63 3
0 64 3
0 65 1
0 66 1
0 67 1
0 68 3
0 69 1
0 70 2
0 71 1
0 72 2
0 73 2
0 74 2
0 75 1
0 76 2
0 77 2
0 78 3
0 79 2
0 80 2
0 81 2
0 82 3
0 83 2
0 84 3
0 85 1
0 86 3
0 87 2
0 88 3
0 89 3
0 90 2
0 91 2
0 92 3
0 93 1
0 94 3
0 95 2
0 96 2
0 97 2
0 98 1
0 99 2
0 100 4
0 101 4
0 102 3
0 103 1
0 104 2
0 105 2
0 106 3
0 107 2
0 108 1
0 109 4
0 110 3
0 111 1
0 112 2
0 113 2
0 114 3
0 115 2
0 116 3
0 117 2
0 118 1
0 119 1
0 120 4
0 121 2
0 122 2
0 123 3
0 124 3
0 125 1
0 126 1
0 127 1
0 128 2
0 129 3
0 130 4
0 131 2
0 132 3
0 133 2
0 134 2
0 135 3
0 136 2
0 137 1
0 138 1
0 139 2
0 140 3
0 141 4
0 142 1
0 143 2
0 144 3
0 145 3
0 146 2
0 147 2
0 148 2
0 149 3
0 150 3
0 151 1
0 152 3
0 153 3
0 154 2
0 155 3
0 156 3
0 157 2
0 158 3
0 159 3
0 160 3
0 161 3
0 162 1
0 163 1
0 164 2
0 165 1
0 166 2
0 167 2
0 168 2
0 169 1
0 170 4
0 171 3
0 172 2
0 173 2
0 174 1
0 175 1
0 176 1
0 177 4
0 178 3
0 179 2
0 180 3
0 181 3
0 182 2
0 183 3
0 184 2
0 185 3
0 186 3
0 187 3
0 188 2
0 189 3
0 190 3
0 191 1
0 192 3
0 193 3
0 194 3
0 195 1
0 196 4
0 197 2
0 198 2
0 199 2
0 200 3
0 201 2
0 202 3
0 203 2
0 204 3
0 205 2
0 206 3
0 207 1
0 208 2
0 209 3
0 210 1
0 211 3
0 212 1
0 213 3
0 214 1
0 215 2
0 216 2
0 217 2
0 218 3
0 219 3
0 220 4
0 221 2
0 222 3
0 223 3
0 224 2
0 225 3
0 226 2
0 227 3
0 228 2
0 229 1
0 230 3
0 231 2
0 232 4
0 233 2
0 234 2
0 235 3
0 236 1
0 237 2
0 238 3
0 239 3
0 240 3
0 241 3
0 242 1
0 243 2
0 244 3
0 245 4
0 246 3
0 247 1
0 248 2
0 249 3
0 250 2
0 251 1
0 252 3
0 253 3
0 254 3
0 255 1
0 256 2
0 257 1
0 258 4
0 259 1
0 260 3
0 261 2
0 262 2
0 263 2
0 264 1
0 265 1
0 266 2
0 267 2
0 268 2
0 269 3
0 270 2
0 271 2
0 272 1
0 273 2
0 274 3
0 275 3
0 276 3
0 277 2
0 278 1
0 279 3
0 280 1
0 281 1
0 282 3
0 283 3
0 284 2
0 285 3
0 286 2
0 287 2
0 288 2
0 289 2
0 290 1
0 291 3
0 292 2
0 293 2
0 294 3
0 295 1
0 296 2
0 297 3
0 298 1
0 299 1
0 300 3
0 301 4
0 302 2
0 303 2
0 304 3
0 305 2
0 306 2
0 307 2
0 308 2
0 309 3
0 310 1
0 311 3
0 312 2
0 313 3
0 314 2
0 315 4
0 316 3
0 317 3
0 318 3
0 319 3
0 320 3
0 321 2
0 322 1
0 323 1
0 324 2
0 325 1
0 326 3
0 327 2
0 328 2
0 329 1
0 330 2
0 331 1
0 332 1
0 333 3
0 334 3
0 335 3
0 336 3
0 337 1
0 338 3
0 339 3
0 340 2
0 341 4
0 342 2
0 343 1
0 344 2
0 345 2
0 346 3
0 347 3
0 348 3
0 349 1
0 350 3
0 351 1
0 352 2
0 353 3
0 354 3
0 355 3
0 356 1
0 357 1
0 358 2
0 359 2
0 360 1
0 361 2
0 362 2
0 363 2
0 364 3
0 365 2
0 366 3
0 367 2
0 368 1
0 369 2
0 370 3
0 371 3
0 372 1
0 373 3
0 374 1
0 375 3
0 376 2
0 377 3
0 378 3
0 379 1
0 380 1
0 381 3
0 382 2
0 383 1
0 384 4
0 385 2
0 386 3
0 387 1
0 388 3
0 389 2
0 390 2
0 391 4
0 392 1
0 393 2
0 394 1
0 395 1
0 396 2
0 397 2
0 398 2
0 399 3
1 2 4
1 3 3
1 4 1
1 5 3
1 6 3
1 7 4
1 8 3
1 9 2
1 10 3
1 11 3
1 12 2
1 13 2
1 14 3
1 15 3
1 16 3
1 17 2
1 18 2
1 19 3
1 20 1
1 21 2
1 22 1
1 23 2
1 24 3
1 25 1
1 26 3
1 27 4
1 28 3
1 29 1
1 30 3
1 31 2
1 32 3
1 33 3
1 34 4
1 35 2
1 36 1
1 37 3
1 38 3
1 39 4
1 40 3
1 41 2
1 42 2
1 43 2
1 44 3
1 45 3
1 46 2
1 47 3
1 48 2
1 49 2
1 50 2
1 51 3
1 52 4
1 53 2
1 54 4
1 55 3
1 56 2
1 57 1
1 58 3
1 59 2
1 60 3
1 61 1
1 62 3
1 63 4
1 64 3
1 65 3
1 66 3
1 67 2
1 68 2
1 69 3
1 70 3
1 71 2
1 72 2
1 73 4
1 74 1
1 75 3
1 76 2
1 77 1
1 78 3
1 79 3
1 80 1
1 81 4
1 82 1
1 83 3
1 84 4
1 85 2
1 86 3
1 87 4
1 88 2
1 89 3
1 90 4
1 91 1
1 92 1
1 93 2
1 94 3
1 95 1
1 96 4
1 97 3
1 98 3
1 99 1
1 100 3
1 101 4
1 102 4
1 103 1
1 104 2
1 105 4
1 106 4
1 107 3
1 108 2
1 109 4
1 110 4
1 111 2
1 112 2
1 113 1
1 114 3
1 115 3
1 116 4
1 117 3
1 118 2
1 119 2
1 120 3
1 121 2
1 122 1
1 123 4
1 124 3
1 125 2
1 126 2
1 127 3
1 128 2
1 129 4
1 130 3
1 131 1
1 132 1
1 133 2
1 134 3
1 135 1
1 136 4
1 137 3
1 138 2
1 139 1
1 140 4
1 141 2
1 142 3
1 143 1
1 144 4
1 145 3
1 146 2
1 147 4
1 148 3
1 149 4
1 150 1
1 151 2
1 152 3
1 153 1
1 154 3
1 155 3
1 156 3
1 157 4
1 158 4
1 159 3
1 160 3
1 161 2
1 162 3
1 163 2
1 164 1
1 165 2
1 166 1
1 167 2
1 168 4
1 169 3
1 170 4
1 171 2
1 172 4
1 173 2
1 174 2
1 175 2
1 176 3
1 177 3
1 178 1
1 179 1
1 180 2
1 181 2
1 182 3
1 183 2
1 184 2
1 185 1
1 186 1
1 187 1
1 188 2
1 189 3
1 190 2
1 191 2
1 192 4
1 193 1
1 194 4
1 195 2
1 196 2
1 197 4
1 198 1
1 199 1
1 200 1
1 201 1
1 202 1
1 203 1
1 204 2
1 205 4
1 206 5
1 207 3
1 208 2
1 209 4
1 210 2
1 211 2
1 212 3
1 213 2
1 214 3
1 215 4
1 216 2
1 217 2
1 218 4
1 219 3
1 220 4
1 221 1
1 222 1
1 223 4
1 224 1
1 225 2
1 226 3
1 227 3
1 228 2
1 229 3
1 230 3
1 231 2
1 232 3
1 233 1
1 234 1
1 235 3
1 236 3
1 237 1
1 238 1
1 239 4
1 240 4
1 241 1
1 242 3
1 243 1
1 244 4
1 245 3
1 246 1
1 247 2
1 248 3
1 249 1
1 250 2
1 251 3
1 252 2
1 253 3
1 254 4
1 255 2
1 256 3
1 257 3
1 258 3
1 259 2
1 260 2
1 261 4
1 262 4
1 263 2
1 264 3
1 265 3
1 266 4
1 267 4
1 268 3
1 269 2
1 270 4
1 271 2
1 272 3
1 273 3
1 274 4
1 275 1
1 276 2
1 277 3
1 278 2
1 279 3
1 280 3
1 281 3
1 282 2
1 283 4
1 284 2
1 285 3
1 286 1
1 287 1
1 288 1
1 289 4
1 290 3
1 291 3
1 292 1
1 293 3
1 294 1
1 295 3
1 296 1
1 297 4
1 298 3
1 299 3
1 300 2
1 301 3
1 302 2
1 303 2
1 304 3
1 305 3
1 306 4
1 307 3
1 308 1
1 309 2
1 310 3
1 311 2
1 312 1
1 313 1
1 314 4
1 315 3
1 316 4
1 317 2
1 318 2
1 319 2
1 320 5
1 321 3
1 322 3
1 323 3
1 324 2
1 325 3
1 326 4
1 327 3
1 328 1
1 329 2
1 330 1
1 331 3
1 332 3
1 333 2
1 334 1
1 335 4
1 336 3
1 337 3
1 338 3
1 339 2
1 340 1
1 341 3
1 342 1
1 343 2
1 344 3
1 345 2
1 346 3
1 347 4
1 348 2
1 349 3
1 350 3
1 351 2
1 352 4
1 353 2
1 354 3
1 355 1
1 356 3
1 357 3
1 358 1
1 359 2
1 360 3
1 361 2
1 362 3
1 363 3
1 364 3
1 365 3
1 366 1
1 367 1
1 368 2
1 369 1
1 370 4
1 371 1
1 372 2
1 373 2
1 374 2
1 375 1
1 376 1
1 377 5
1 378 1
1 379 3
1 380 3
1 381 4
1 382 3
1 383 3
1 384 3
1 385 4
1 386 2
1 387 3
1 388 2
1 389 3
1 390 2
1 391 4
1 392 3
1 393 3
1 394 2
1 395 2
1 396 2
1 397 1
1 398 2
1 399 3
2 3 1
2 4 3
2 5 2
2 6 2
2 7 1
2 8 3
2 9 2
2 10 2
2 11 3
2 12 3
2 13 2
2 14 3
2 15 3
2 16 3
2 17 3
2 18 4
2 19 3
2 20 3
2 21 2
2 22 4
2 23 2
2 24 3
2 25 4
2 26 1
2 27 1
2 28 3
2 29 4
2 30 1
2 31 3
2 32 1
2 33 2
2 34 3
2 35 2
2 36 3
2 37 2
2 38 2
2 39 1
2 40 3
2 41 4
2 42 2
2 43 3
2 44 2
2 45 1
2 46 3
2 47 3
2 48 3
2 49 3
2 50 3
2 51 3
2 52 1
2 53 3
2 54 1
2 55 2
2 56 2
2 57 4
2 58 3
2 59 3
2 60 2
2 61 3
2 62 4
2 63 1
2 64 3
2 65 1
2 66 2
2 67 2
2 68 4
2 69 1
2 70 1
2 71 3
2 72 2
2 73 1
2 74 3
2 75 3
2 76 3
2 77 3
2 78 3
2 79 3
2 80 3
2 81 1
2 82 4
2 83 1
2 84 2
2 85 2
2 86 2
2 87 1
2 88 4
2 89 3
2 90 1
2 91 3
2 92 4
2 93 2
2 94 3
2 95 3
2 96 1
2 97 3
2 98 2
2 99 3
2 100 3
2 101 4
2 102 1
2 103 3
2 104 2
2 105 1
2 106 1
2 107 1
2 108 3
2 109 4
2 110 2
2 111 2
2 112 3
2 113 3
2 114 3
2 115 2
2 116 1
2 117 1
2 118 3
2 119 2
2 120 3
2 121 2
2 122 3
2 123 1
2 124 2
2 125 2
2 126 2
2 127 2
2 128 2
2 129 1
2 130 3
2 131 3
2 132 4
2 133 2
2 134 1
2 135 4
2 136 1
2 137 1
2 138 2
2 139 4
2 140 1
2 141 4
2 142 1
2 143 4
2 144 2
2 145 2
2 146 3
2 147 1
2 148 2
2 149 2
2 150 3
2 151 2
2 152 2
2 153 4
2 154 2
2 155 2
2 156 3
2 157 1
2 158 1
2 159 2
2 160 2
2 161 3
2 162 1
2 163 2
2 164 3
2 165 3
2 166 3
2 167 2
2 168 1
2 169 3
2 170 4
2 171 3
2 172 1
2 173 3
2 174 2
2 175 3
2 176 1
2 177 4
2 178 4
2 179 3
2 180 4
2 181 4
2 182 2
2 183 3
2 184 2
2 185 4
2 186 4
2 187 4
2 188 3
2 189 3
2 190 3
2 191 3
2 192 1
2 193 4
2 194 2
2 195 2
2 196 5
2 197 1
2 198 3
2 199 3
2 200 4
2 201 4
2 202 4
2 203 4
2 204 3
2 205 1
2 206 1
2 207 2
2 208 3
2 209 2
2 210 2
2 211 3
2 212 2
2 213 4
2 214 1
2 215 1
2 216 3
2 217 2
2 218 1
2 219 2
2 220 3
2 221 3
2 222 5
2 223 2
2 224 3
2 225 4
2 226 2
2 227 2
2 228 3
2 229 2
2 230 3
2 231 2
2 232 4
2 233 3
2 234 3
2 235 3
2 236 1
2 237 3
2 238 4
2 239 1
2 240 2
2 241 4
2 242 1
2 243 3
2 244 1
2 245 3
2 246 3
2 247 2
2 248 1
2 249 4
2 250 2
2 251 3
2 252 3
2 253 3
2 254 1
2 255 2
2 256 2
2 257 1
2 258 3
2 259 3
2 260 3
2 261 1
2 262 1
2 263 2
2 264 2
2 265 2
2 266 1
2 267 1
2 268 2
2 269 3
2 270 1
2 271 3
2 272 2
2 273 2
2 274 1
2 275 4
2 276 3
2 277 1
2 278 3
2 279 2
2 280 1
2 281 2
2 282 5
2 283 1
2 284 3
2 285 3
2 286 3
2 287 3
2 288 3
2 289 1
2 290 2
2 291 3
2 292 3
2 293 1
2 294 4
2 295 1
2 296 4
2 297 2
2 298 2
2 299 1
2 300 4
2 301 3
2 302 3
2 303 2
2 304 2
2 305 1
2 306 1
2 307 1
2 308 3
2 309 4
2 310 1
2 311 3
2 312 3
2 313 4
2 314 1
2 315 4
2 316 3
2 317 3
2 318 3
2 319 3
2 320 1
2 321 2
2 322 2
2 323 2
2 324 2
2 325 2
2 326 2
2 327 1
2 328 4
2 329 2
2 330 3
2 331 3
2 332 1
2 333 3
2 334 4
2 335 1
2 336 3
2 337 2
2 338 2
2 339 4
2 340 3
2 341 4
2 342 3
2 343 2
2 344 3
2 345 2
2 346 2
2 347 2
2 348 3
2 349 2
2 350 2
2 351 2
2 352 1
2 353 4
2 354 3
2 355 4
2 356 2
2 357 3
2 358 4
2 359 2
2 360 1
2 361 2
2 362 3
2 363 2
2 364 3
2 365 2
2 366 4
2 367 3
2 368 3
2 369 3
2 370 1
2 371 4
2 372 3
2 373 3
2 374 2
2 375 4
2 376 3
2 377 1
2 378 4
2 379 2
2 380 2
2 381 3
2 382 3
2 383 1
2 384 3
2 385 1
2 386 3
2 387 2
2 388 2
2 389 1
2 390 3
2 391 4
2 392 2
2 393 1
2 394 2
2 395 2
2 396 2
2 397 3
2 398 2
2 399 2
3 4 3
3 5 1
3 6 2
3 7 1
3 8 3
3 9 2
3 10 1
3 11 3
3 12 3
3 13 2
3 14 2
3 15 2
3 16 3
3 17 3
3 18 4
3 19 3
3 20 3
3 21 2
3 22 3
3 23 2
3 24 3
3 25 4
3 26 2
3 27 1
3 28 3
3 29 4
3 30 2
3 31 2
3 32 1
3 33 2
3 34 4
3 35 2
3 36 3
3 37 2
3 38 2
3 39 1
3 40 4
3 41 4
3 42 2
3 43 3
3 44 2
3 45 1
3 46 3
3 47 2
3 48 2
3 49 2
3 50 2
3 51 3
3 52 2
3 53 3
3 54 2
3 55 2
3 56 2
3 57 4
3 58 3
3 59 3
3 60 2
3 61 2
3 62 4
3 63 1
3 64 3
3 65 1
3 66 2
3 67 1
3 68 4
3 69 1
3 70 1
3 71 2
3 72 2
3 73 1
3 74 3
3 75 2
3 76 3
3 77 3
3 78 3
3 79 3
3 80 2
3 81 1
3 82 3
3 83 2
3 84 3
3 85 1
3 86 3
3 87 1
3 88 4
3 89 3
3 90 1
3 91 3
3 92 4
3 93 2
3 94 3
3 95 3
3 96 1
3 97 3
3 98 2
3 99 3
3 100 4
3 101 4
3 102 2
3 103 2
3 104 2
3 105 1
3 106 1
3 107 1
3 108 2
3 109 4
3 110 2
3 111 2
3 112 2
3 113 2
3 114 3
3 115 1
3 116 2
3 117 1
3 118 2
3 119 2
3 120 4
3 121 2
3 122 3
3 123 1
3 124 3
3 125 2
3 126 2
3 127 2
3 128 2
3 129 2
3 130 3
3 131 3
3 132 4
3 133 2
3 134 1
3 135 4
3 136 2
3 137 1
3 138 2
3 139 3
3 140 2
3 141 4
3 142 1
3 143 3
3 144 2
3 145 2
3 146 3
3 147 1
3 148 2
3 149 2
3 150 3
3 151 2
3 152 3
3 153 4
3 154 2
3 155 2
3 156 3
3 157 1
3 158 2
3 159 2
3 160 3
3 161 3
3 162 1
3 163 2
3 164 3
3 165 3
3 166 3
3 167 2
3 168 1
3 169 2
3 170 4
3 171 3
3 172 1
3 173 3
3 174 2
3 175 2
3 176 1
3 177 4
3 178 4
3 179 2
3 180 4
3 181 4
3 182 1
3 183 3
3 184 2
3 185 3
3 186 4
3 187 3
3 188 3
3 189 3
3 190 3
3 191 2
3 192 2
3 193 4
3 194 3
3 195 2
3 196 4
3 197 1
3 198 3
3 199 3
3 200 4
3 201 3
3 202 4
3 203 3
3 204 3
3 205 1
